category_id,is_active,position,level,parent_id,name,url_key,description,created_at,updated_at,children_count,include_in_menu
1,,0,0,0,"Root Catalog",,,2017-09-05T18:35:15+01:00,"2017-09-05 17:35:15",144,1
2,1,1,1,1,"Default Category",default-category,,2017-09-05T18:35:15+01:00,"2021-11-19 16:40:43",100,1
3,1,1,3,12,"Dash Cameras",dash-cameras,,2017-10-17T12:57:17+01:00,"2021-11-12 10:08:27",20,1
4,1,3,3,12,Navigation,navigation,,2017-10-17T12:57:43+01:00,"2020-06-17 13:33:13",15,1
5,1,5,3,12,Wearable,wearable,,2017-10-17T12:58:27+01:00,"2018-09-25 13:48:25",3,1
6,1,1,4,3,"Car Cameras",car-cameras,"Capture all important moments while driving with MiVue™ pixel-perfect car cams. You will be well-protected backwards and forwards, and everything in between. Let’s begin your journey with a peace of mind.",2017-10-17T12:59:17+01:00,"2021-01-15 14:29:08",13,1
7,1,2,4,3,"Rider Camera",rider-camera,,2017-10-17T12:59:41+01:00,"2020-05-20 10:01:31",1,0
8,1,1,4,4,"Car Navigation",car-navigation,,2017-10-17T13:19:30+01:00,"2019-05-29 19:30:02",6,1
9,1,4,3,12,Outdoors,outdoors,,2017-10-17T13:20:21+01:00,"2020-06-17 15:03:55",6,1
10,1,3,4,4,Software,software,,2017-10-17T13:21:16+01:00,"2020-04-23 16:19:55",4,1
11,0,2,4,4,導航行車二合一,combo,,2017-10-17T13:23:58+01:00,"2019-05-29 19:44:35",1,0
12,1,1,2,2,Product,products,products,2017-10-20T12:54:31+01:00,"2018-09-25 17:00:30",65,1
13,1,2,2,57,Enterprise,enterprise,,2017-10-24T09:49:38+01:00,"2019-01-18 15:55:18",0,1
14,1,1,5,8,"MiVue™ Drive",mivue-drive,,2017-10-24T09:51:38+01:00,"2018-11-12 17:01:29",0,1
15,1,1,5,7,"M Series",mivue-m-series,,2017-10-24T09:52:22+01:00,"2021-08-31 09:57:20",0,1
16,0,3,5,8,Combo,combo,,2017-10-24T09:54:13+01:00,"2020-01-07 13:54:58",0,0
17,1,4,5,8,Spirit,spirit,,2017-10-24T09:55:42+01:00,"2019-07-03 21:27:53",0,1
18,1,1,4,9,"Cycling Navigation",cycling-navigation,,2017-10-24T09:56:27+01:00,"2020-04-21 13:23:37",4,1
19,0,6,5,6,MiVue™,mivue,,2017-10-24T10:02:14+01:00,"2020-08-25 11:05:10",0,0
24,0,12,5,6,雙鏡頭系列,duallens-series,,2017-10-24T14:53:48+01:00,"2020-08-25 11:05:55",0,0
25,0,7,5,6,"MiVue™ 螢幕系列",mivue-series,,2017-10-24T14:54:51+01:00,"2020-04-17 10:56:48",0,0
26,0,13,5,6,後視鏡系列,rearview-series,,2017-10-24T14:55:45+01:00,"2019-05-29 19:12:37",0,0
27,1,14,5,6,"Rear Cam",rearlen-series,,2017-10-24T14:56:41+01:00,"2021-04-07 13:53:08",0,1
28,0,6,5,8,NaviNext,navi-next,,2017-10-24T15:11:04+01:00,"2019-05-29 19:40:36",0,0
29,0,1,5,11,"MiVue™ Drive",mivue-drive,,2017-10-24T15:14:16+01:00,"2019-05-29 19:45:41",0,1
30,1,2,2,2,Support,support,,2017-10-25T12:44:21+01:00,"2018-11-22 16:44:13",0,1
31,1,11,2,2,Eshop,eshop,,2017-10-25T12:44:58+01:00,"2019-12-03 11:39:20",2,1
33,1,4,2,57,MioWORK™,miowork,,2017-10-27T12:00:28+01:00,"2019-01-23 06:17:43",0,1
34,1,1,2,80,Handhelds,handhelds,,2017-10-27T12:01:36+01:00,"2021-10-04 09:56:49",1,1
35,1,2,2,80,"Fleet Tablets",fleet-tablets,,2017-10-27T12:02:12+01:00,"2024-03-05 14:42:20",1,1
36,1,1,4,5,"Health Bracelet",health-bracelet,,2017-10-27T12:19:57+01:00,"2018-02-27 17:32:26",2,1
37,1,1,5,36,"MiVia™ Essential 350",mivia-essential-350,,2017-10-27T12:20:19+01:00,"2018-02-06 11:06:46",0,1
38,1,1,5,10,Maps,maps,,2017-11-08T16:34:22+00:00,"2018-09-25 13:49:32",0,1
39,1,2,5,10,"Truck Mode",truck-mode,,2017-11-08T16:38:54+00:00,"2018-09-25 13:49:49",0,1
