attribute_id,code,label,type,required,scope,options
null,created_at,created_at,,,global,
null,updated_at,updated_at,,,global,
null,parent_id,parent_id,,,global,
null,increment_id,increment_id,,,global,
41,name,name,text,1,store,
42,is_active,is_active,select,1,store,"Yes, No"
43,url_key,url_key,text,0,store,
44,description,description,textarea,0,store,
45,image,image,image,0,store,
46,meta_title,meta_title,text,0,store,
47,meta_keywords,meta_keywords,textarea,0,store,
48,meta_description,meta_description,textarea,0,store,
49,display_mode,display_mode,select,0,store,"Products only, Static block only, Static block and products, Landing page"
50,landing_page,landing_page,select,0,store,"Please select a static block ..., Footer Links, Footer Links Company, Cookie restriction notice, EN-DashCam, EN-Software, EN-GPS, nl_nl_contact, MiVue™ Manager_EN, MivueManager_img, MiVue™ Manager_NL, nl_be_Contacts, MiVue™ Manager_DE, Landing Page - All Store View, MiVue™ Manager_FR, DE_Website_ContactUs, fr_be_ContactUs, B2B_Contact_UK, B2B_Contact_US, B2B_Contact_AU, IWD Blog - Test Banner, IWD Blog - Connect With Us, B2B_Contact_NL, B2B Contacts-DE, B2B Contacts-FR, Partnerresource Title, Partnerresource Title Fr, Partnerresource Title De, Partnerresource Title nl, Mivue App_EN, Mivue App Image_EN, Mivue Pro App_EN, Mivue Pro App Image_EN, US contact-info, RMA Policy, MiVue Share, MiVue Share Image, MioShare™, MiVue Share Image, MioShare™ Dutch, MioShare™ FR, MioShare™ DE, Mivue Pro App_NL, Mivue Pro App_FR, Mivue Pro App_DE, Partner Portal Resources, Partner Portal Resources, Partner Portal Resources, Partner Portal Resources, Site Closed, Under Construction, MiDM, B2B-Homebannber-Title-english, B2B-Homebannber-Title-Netherlands, B2B-Homebannber-Title-Frence, B2B-Homebannber-Title-German, B2B-Miowork-Title-english, B2B-Mioeye-Title-english, B2B-Miocare-Title-english, B2B-Mioeye-Title-german, B2B-Mioeye-Title-dutch, B2B-Miowork-Title-german, B2B-Miowork-Title-dutch, B2B-Miowork-Title-french, B2B-Mioeye-Title-french, B2B-Miocare-Title-german, B2B-Miocare-Title-dutch, B2B-Miocare-Title-french, B2B-Mioserv-Title-english"
51,is_anchor,is_anchor,select,0,global,"Yes, No"
52,path,path,text,0,global,
53,position,position,text,0,global,
54,all_children,all_children,text,0,global,
55,path_in_store,path_in_store,text,0,global,
56,children,children,text,0,global,
57,url_path,url_path,text,0,store,
58,custom_design,custom_design,select,0,store,"base, default, rwd, astralweb"
59,custom_design_from,custom_design_from,date,0,store,
60,custom_design_to,custom_design_to,date,0,store,
61,page_layout,page_layout,select,0,store,"No layout updates, Empty, 1 column, 2 columns with left bar, 2 columns with right bar, 3 columns"
62,custom_layout_update,custom_layout_update,textarea,0,store,
63,level,level,text,0,global,
64,children_count,children_count,text,0,global,
65,available_sort_by,available_sort_by,multiselect,1,store,"Best Value, Name, Price, New"
66,default_sort_by,default_sort_by,select,1,store,"Best Value, Name, Price, New"
67,include_in_menu,include_in_menu,select,1,store,"Yes, No"
68,custom_use_parent_settings,custom_use_parent_settings,select,0,store,"Yes, No"
69,custom_apply_to_products,custom_apply_to_products,select,0,store,"Yes, No"
70,filter_price_range,filter_price_range,text,0,store,
870,cate_section,cate_section,select,0,store,"Section 1, Section 2, Section 3, Section 4, Section 5, Section 6, Section 7, Section 8, Section 9, Section 10, Section 11, Section 12, Section 13, Section 14, Section 15"
871,s1_template,s1_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
872,s2_template,s2_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
873,s3_template,s3_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
874,s4_template,s4_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
875,s5_template,s5_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
876,s6_template,s6_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
877,s7_template,s7_template,select,0,store,"4 blocks, Full Width Banner, Video only, Fixed Width Banner, 3-Column, 2-Column(2 rows right), 2-Column(2 rows left), Quad Block, Plan Text, Plan Text With Description"
