attribute_id,attribute_code,frontend_input,default_value,is_unique,is_required,scope,apply_to,is_configurable,is_searchable,is_visible_in_advanced_search,is_comparable,is_used_for_promo_rules,is_visible_on_front,used_in_product_listing,additional_fields,options,frontend_label
71,name,text,,0,1,store,,1,1,1,0,1,0,1,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""1""}",,Name
72,description,textarea,,0,0,store,,1,1,1,1,0,0,1,"{""is_wysiwyg_enabled"":""1"",""is_html_allowed_on_front"":""1""}",,Description
73,short_description,textarea,,0,0,store,,1,1,1,1,0,0,1,"{""is_wysiwyg_enabled"":""1"",""is_html_allowed_on_front"":""1""}",,"Short Description"
74,sku,text,,1,1,global,,1,1,0,0,1,0,1,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Part Number"
75,price,price,,0,0,,"simple, configurable, virtual, bundle, downloadable",1,1,1,0,0,0,1,"{""is_filterable"":""1"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""1""}",,"Price, Price, Prix, Prix, Cena, Cena, Prijs"
76,special_price,price,,0,0,,"simple, configurable, virtual, bundle, downloadable",1,0,0,0,0,0,1,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}",,"Special Price"
77,special_from_date,date,,0,0,website,"simple, configurable, virtual, bundle, downloadable",1,0,0,0,0,0,1,"{""used_for_sort_by"":""0""}",,"Special Price From Date"
78,special_to_date,date,,0,0,website,"simple, configurable, virtual, bundle, downloadable",1,0,0,0,0,0,1,"{""used_for_sort_by"":""0""}",,"Special Price To Date"
79,cost,price,,0,0,,"virtual, downloadable",1,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}",,Cost
80,weight,weight,,0,0,global,"simple, bundle",1,0,0,0,0,0,0,[],,"Weight (gr), Hmotnost(gr), Weight (gr), Poids (gr), Waga (gr), Gewicht (gr), Poids (gr)"
82,meta_title,text,,0,0,store,,1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Meta Title"
83,meta_keyword,textarea,,0,0,store,,1,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""0""}",,"Meta Keywords"
84,meta_description,textarea,,0,0,store,,1,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""0""}",,"Meta Description"
89,old_id,text,,0,0,global,,1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,
90,group_price,text,,0,0,website,"simple, configurable, virtual, bundle, downloadable",1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Group Price"
91,tier_price,text,,0,0,website,"simple, configurable, virtual, bundle, downloadable",1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Tier Price"
93,news_from_date,date,,0,0,website,,1,0,0,0,0,0,1,"{""used_for_sort_by"":""0""}",,"Set Product as New from Date"
94,news_to_date,date,,0,0,website,,1,0,0,0,0,0,1,"{""used_for_sort_by"":""0""}",,"Set Product as New to Date"
96,status,select,,0,1,website,,0,1,0,0,0,0,1,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","Enabled, Disabled",Status
97,url_key,text,,0,0,store,,1,0,0,0,0,0,1,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"URL Key"
98,url_path,text,,0,0,store,,1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,
99,minimal_price,price,,0,0,,"simple, configurable, virtual, bundle, downloadable",1,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}",,"Minimal Price"
100,is_recurring,select,,0,0,global,"simple, virtual",0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}",No,"Enable Recurring Profile"
101,recurring_profile,text,,0,0,global,"simple, virtual",0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Recurring Payment Profile"
102,visibility,select,4,0,1,store,,1,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","Not Visible Individually, Catalog, Search, Catalog, Search",Visibility
103,custom_design,select,,0,0,store,,1,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","base, default, rwd, astralweb","Custom Design"
104,custom_design_from,date,,0,0,store,,1,0,0,0,0,0,0,"{""used_for_sort_by"":""0""}",,"Active From"
105,custom_design_to,date,,0,0,store,,1,0,0,0,0,0,0,"{""used_for_sort_by"":""0""}",,"Active To"
106,custom_layout_update,textarea,,0,0,store,,1,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""0""}",,"Custom Layout Update"
107,page_layout,select,,0,0,store,,1,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","Empty, 1 column, 2 columns with left bar, 2 columns with right bar, 3 columns","Page Layout"
108,category_ids,text,,0,0,global,,1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,
109,options_container,select,container1,0,0,store,,1,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","Block after Info Column","Display Product Options In"
110,required_options,text,,0,0,global,,1,0,0,0,0,0,1,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,
111,has_options,text,,0,0,global,,1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,
112,image_label,text,,0,0,store,,0,0,0,0,0,0,1,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Image Label"
113,small_image_label,text,,0,0,store,,0,0,0,0,0,0,1,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Small Image Label"
114,thumbnail_label,text,,0,0,store,,0,0,0,0,0,0,1,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Thumbnail Label"
115,created_at,text,,0,1,global,,1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,
116,updated_at,text,,0,1,global,,1,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,
